"","times","mod","weather","variable","value"
"186",2020-09-02,"Real Data","1","Burgenland",0.153836597561124
"187",2020-09-03,"Real Data","1","Burgenland",0.0761795486616843
"188",2020-09-04,"Real Data","1","Burgenland",0.442574423165733
"189",2020-09-05,"Real Data","1","Burgenland",0.555392304985515
"190",2020-09-06,"Real Data","1","Burgenland",0.459091923201927
"191",2020-09-07,"Real Data","1","Burgenland",0.533356337502087
"192",2020-09-08,"Real Data","1","Burgenland",0.404584203936064
"193",2020-09-09,"Real Data","1","Burgenland",0.310329905476134
"194",2020-09-10,"Real Data","1","Burgenland",0.233930604388945
"195",2020-09-11,"Real Data","1","Burgenland",0.253327949339042
"196",2020-09-12,"Real Data","1","Burgenland",0.38065256622713
"197",2020-09-13,"Real Data","1","Burgenland",0.33735879519007
"198",2020-09-14,"Real Data","1","Burgenland",0.290568107775817
"199",2020-09-15,"Real Data","1","Burgenland",0.198385040895052
"200",2020-09-16,"Real Data","1","Burgenland",0.212709988114461
"201",2020-09-17,"Real Data","1","Burgenland",0.208677343784513
"202",2020-09-18,"Real Data","1","Burgenland",0.166785370351602
"203",2020-09-19,"Real Data","1","Burgenland",0.205323883920417
"204",2020-09-20,"Real Data","1","Burgenland",0.231049725679445
"205",2020-09-21,"Real Data","1","Burgenland",0.202644016821023
"206",2020-09-22,"Real Data","1","Burgenland",0.198706952430887
"207",2020-09-23,"Real Data","1","Burgenland",0.250485506273986
"208",2020-09-24,"Real Data","1","Burgenland",0.303599774463994
"209",2020-09-25,"Real Data","1","Burgenland",0.277023765861306
"210",2020-09-26,"Real Data","1","Burgenland",0.41079825936151
"211",2020-09-27,"Real Data","1","Burgenland",0.512918136594155
"212",2020-09-28,"Real Data","1","Burgenland",0.423864268136832
"213",2020-09-29,"Real Data","1","Burgenland",0.295690878606801
"214",2020-09-30,"Real Data","1","Burgenland",0.515814632858925
"215",2020-10-01,"Real Data","1","Burgenland",0.622620278965021
"216",2020-10-02,"Real Data","1","Burgenland",0.612235411293163
"217",2020-10-03,"Real Data","1","Burgenland",0.64711103071472
"218",2020-10-04,"Real Data","1","Burgenland",0.487805852849738
"219",2020-10-05,"Real Data","1","Burgenland",0.448380692493742
"220",2020-10-06,"Real Data","1","Burgenland",0.40199833615987
"221",2020-10-07,"Real Data","1","Burgenland",0.480628611939589
"222",2020-10-08,"Real Data","1","Burgenland",0.560695531836436
"223",2020-10-09,"Real Data","1","Burgenland",0.552729569341032
"224",2020-10-10,"Real Data","1","Burgenland",0.550728651908839
"225",2020-10-11,"Real Data","1","Burgenland",0.457994206734681
"226",2020-10-12,"Real Data","1","Burgenland",0.457994206734681
"227",2020-10-13,"Real Data","1","Burgenland",0.854821837534481
"228",2020-10-14,"Real Data","1","Burgenland",0.575825006152225
"229",2020-10-15,"Real Data","1","Burgenland",0.581052388952716
"230",2020-10-16,"Real Data","1","Burgenland",0.904986408617083
"231",2020-10-17,"Real Data","1","Burgenland",0.672782748716544
"232",2020-10-18,"Real Data","1","Burgenland",0.658684956241195
"233",2020-10-19,"Real Data","1","Burgenland",0.650721204488212
"234",2020-10-20,"Real Data","1","Burgenland",0.84964292874525
"235",2020-10-21,"Real Data","1","Burgenland",0.765526319913807
"236",2020-10-22,"Real Data","1","Burgenland",0.647791627657497
"237",2020-10-23,"Real Data","1","Burgenland",0.67951505011337
"238",2020-10-24,"Real Data","1","Burgenland",0.628110211630728
"239",2020-10-25,"Real Data","1","Burgenland",0.67622512490323
"240",2020-10-26,"Real Data","1","Burgenland",0.682474025004351
"241",2020-10-27,"Real Data","1","Burgenland",0.633436882484203
"242",2020-10-28,"Real Data","1","Burgenland",0.663562179574808
"243",2020-10-29,"Real Data","1","Burgenland",0.74148052938603
"244",2020-10-30,"Real Data","1","Burgenland",0.700010566123759
"245",2020-10-31,"Real Data","1","Burgenland",0.672093968797203
"246",2020-11-01,"Real Data","1","Burgenland",0.691545334091438
"247",2020-11-02,"Real Data","1","Burgenland",0.710494201502524
"248",2020-11-03,"Real Data","1","Burgenland",0.694255175164983
"249",2020-11-04,"Real Data","1","Burgenland",0.760415270844506
"250",2020-11-05,"Real Data","1","Burgenland",0.778634413018401
"251",2020-11-06,"Real Data","1","Burgenland",0.796645925942913
"252",2020-11-07,"Real Data","1","Burgenland",0.725542017324968
"253",2020-11-08,"Real Data","1","Burgenland",0.720797171671373
"254",2020-11-09,"Real Data","1","Burgenland",0.721776644889349
"255",2020-11-10,"Real Data","1","Burgenland",0.661530415130555
"256",2020-11-11,"Real Data","1","Burgenland",0.656878537520895
"257",2020-11-12,"Real Data","1","Burgenland",0.630643999840662
"258",2020-11-13,"Real Data","1","Burgenland",0.786324483513294
"259",2020-11-14,"Real Data","1","Burgenland",0.809340369529418
"260",2020-11-15,"Real Data","1","Burgenland",0.71100674452402
"261",2020-11-16,"Real Data","1","Burgenland",0.754787040134936
"262",2020-11-17,"Real Data","1","Burgenland",0.780940326698629
"263",2020-11-18,"Real Data","1","Burgenland",0.730984279769444
"264",2020-11-19,"Real Data","1","Burgenland",0.798154024581143
"265",2020-11-20,"Real Data","1","Burgenland",0.68336753123316
"266",2020-11-21,"Real Data","1","Burgenland",0.862016041513528
"267",2020-11-22,"Real Data","1","Burgenland",0.814531248631237
"268",2020-11-23,"Real Data","1","Burgenland",0.842102910946354
"269",2020-11-24,"Real Data","1","Burgenland",0.850481038663262
"270",2020-11-25,"Real Data","1","Burgenland",0.821147521078009
"271",2020-11-26,"Real Data","1","Burgenland",0.839467349781553
"272",2020-11-27,"Real Data","1","Burgenland",0.767477900075601
"273",2020-11-28,"Real Data","1","Burgenland",0.766660878310646
"274",2020-11-29,"Real Data","1","Burgenland",0.824001534573504
"275",2020-11-30,"Real Data","1","Burgenland",0.842437474999162
"276",2020-12-01,"Real Data","1","Burgenland",0.899580231111837
"277",2020-12-02,"Real Data","1","Burgenland",0.899600034221631
"278",2020-12-03,"Real Data","1","Burgenland",0.90003312785013
"279",2020-12-04,"Real Data","1","Burgenland",0.87186621342505
"280",2020-12-05,"Real Data","1","Burgenland",0.830670608038089
"281",2020-12-06,"Real Data","1","Burgenland",0.83725397214735
"282",2020-12-07,"Real Data","1","Burgenland",1
"283",2020-12-08,"Real Data","1","Burgenland",0.871663763227603
"284",2020-12-09,"Real Data","1","Burgenland",0.89601156956113
"285",2020-12-10,"Real Data","1","Burgenland",0.856951755537772
"286",2020-12-11,"Real Data","1","Burgenland",0.924747205610316
"287",2020-12-12,"Real Data","1","Burgenland",0.822218874023385
"288",2020-12-13,"Real Data","1","Burgenland",0.893483497539421
"289",2020-12-14,"Real Data","1","Burgenland",0.910981582284829
"290",2020-12-15,"Real Data","1","Burgenland",0.885482986736901
"291",2020-12-16,"Real Data","1","Burgenland",0.871788873907349
"292",2020-12-17,"Real Data","1","Burgenland",0.847349277504452
"293",2020-12-18,"Real Data","1","Burgenland",0.949037547771272
"294",2020-12-19,"Real Data","1","Burgenland",0.928972648989593
"295",2020-12-20,"Real Data","1","Burgenland",0.908859440014947
"296",2020-12-21,"Real Data","1","Burgenland",0.899143213370198
"297",2020-12-22,"Real Data","1","Burgenland",0.841621169156552
"298",2020-12-23,"Real Data","1","Burgenland",0.882852122377859
"299",2020-12-24,"Real Data","1","Burgenland",0.857350932946174
"300",2020-12-25,"Real Data","1","Burgenland",0.859378946554012
"301",2020-12-26,"Real Data","1","Burgenland",0.82488373238335
"302",2020-12-27,"Real Data","1","Burgenland",0.824725568059014
"303",2020-12-28,"Real Data","1","Burgenland",0.825364444985749
"304",2020-12-29,"Real Data","1","Burgenland",0.827984256536972
"305",2020-12-30,"Real Data","1","Burgenland",0.885547741570096
"306",2020-12-31,"Real Data","1","Burgenland",0.906108565093454
"307",2021-01-01,"Real Data","1","Burgenland",0.874718020086728
"308",2021-01-02,"Real Data","1","Burgenland",0.958398712950133
"309",2021-01-03,"Real Data","1","Burgenland",0.85489215030614
"310",2021-01-04,"Real Data","1","Burgenland",0.923286262848277
"311",2021-01-05,"Real Data","1","Burgenland",0.940281678632434
"312",2021-01-06,"Real Data","1","Burgenland",0.87356125441824
"313",2021-01-07,"Real Data","1","Burgenland",0.843977172628888
"314",2021-01-08,"Real Data","1","Burgenland",0.781893913841427
"315",2021-01-09,"Real Data","1","Burgenland",0.891840160646986
"316",2021-01-10,"Real Data","1","Burgenland",0.930157553392535
"317",2021-01-11,"Real Data","1","Burgenland",0.890283739356377
"318",2021-01-12,"Real Data","1","Burgenland",0.892152375399963
"319",2021-01-13,"Real Data","1","Burgenland",0.94366329232787
"320",2021-01-14,"Real Data","1","Burgenland",0.897887319582579
"321",2021-01-15,"Real Data","1","Burgenland",0.916350709297719
"322",2021-01-16,"Real Data","1","Burgenland",0.884973681947252
"323",2021-01-17,"Real Data","1","Burgenland",0.883924187866614
"324",2021-01-18,"Real Data","1","Burgenland",0.866589656798427
"325",2021-01-19,"Real Data","1","Burgenland",0.901398065511841
"326",2021-01-20,"Real Data","1","Burgenland",0.848584863027126
"327",2021-01-21,"Real Data","1","Burgenland",0.841751997474834
"328",2021-01-22,"Real Data","1","Burgenland",0.888161169566994
"329",2021-01-23,"Real Data","1","Burgenland",0.862968723963034
"330",2021-01-24,"Real Data","1","Burgenland",0.856430276801769
"331",2021-01-25,"Real Data","1","Burgenland",0.870149200335901
"332",2021-01-26,"Real Data","1","Burgenland",0.915468478023483
"333",2021-01-27,"Real Data","1","Burgenland",0.92252744841462
"334",2021-01-28,"Real Data","1","Burgenland",0.980208843531352
"335",2021-01-29,"Real Data","1","Burgenland",0.959170966221714
"336",2021-01-30,"Real Data","1","Burgenland",0.919864655915302
"337",2021-01-31,"Real Data","1","Burgenland",0.867583896884901
"338",2021-02-01,"Real Data","1","Burgenland",0.776410916948465
"339",2021-02-02,"Real Data","1","Burgenland",0.802760955790386
"340",2021-02-03,"Real Data","1","Burgenland",0.904259893490247
"341",2021-02-04,"Real Data","1","Burgenland",0.911056413822465
"342",2021-02-05,"Real Data","1","Burgenland",0.974791291432711
"343",2021-02-06,"Real Data","1","Burgenland",0.840549772378875
"344",2021-02-07,"Real Data","1","Burgenland",0.807107190264394
"345",2021-02-08,"Real Data","1","Burgenland",0.902333384847252
"346",2021-02-09,"Real Data","1","Burgenland",0.841718270002781
"347",2021-02-10,"Real Data","1","Burgenland",0.844767868450644
"348",2021-02-11,"Real Data","1","Burgenland",0.860342117969123
"349",2021-02-12,"Real Data","1","Burgenland",0.85077334460611
"350",2021-02-13,"Real Data","1","Burgenland",0.808725021769173
"351",2021-02-14,"Real Data","1","Burgenland",0.829889869181587
"352",2021-02-15,"Real Data","1","Burgenland",0.864170446399708
"353",2021-02-16,"Real Data","1","Burgenland",0.944864986490255
"354",2021-02-17,"Real Data","1","Burgenland",0.884308662719821
